"year","month","date_of_month","day_of_week","births","weekend"
2000,"May",6,"Saturday",8814,TRUE
2000,"May",7,"Sunday",7797,TRUE
2000,"May",8,"Monday",11604,FALSE
2000,"May",9,"Tuesday",12744,FALSE
2000,"May",10,"Wednesday",12607,FALSE
2000,"May",11,"Thursday",12442,FALSE
2000,"May",12,"Friday",12132,FALSE
2000,"May",13,"Saturday",8747,TRUE
2000,"May",14,"Sunday",7617,TRUE
2000,"May",15,"Monday",11587,FALSE
2000,"May",16,"Tuesday",12898,FALSE
2000,"May",17,"Wednesday",12729,FALSE
2000,"May",18,"Thursday",12580,FALSE
2000,"May",19,"Friday",12174,FALSE
2000,"May",20,"Saturday",8673,TRUE
2000,"May",21,"Sunday",7887,TRUE
2000,"May",22,"Monday",11582,FALSE
2000,"May",23,"Tuesday",13097,FALSE
2000,"May",24,"Wednesday",12669,FALSE
2000,"May",25,"Thursday",13026,FALSE
2000,"May",26,"Friday",12726,FALSE
2000,"May",27,"Saturday",8991,TRUE
2000,"May",28,"Sunday",7873,TRUE
2000,"May",29,"Monday",8272,FALSE
2000,"May",30,"Tuesday",11954,FALSE
2000,"May",31,"Wednesday",12941,FALSE
2000,"June",1,"Thursday",13363,FALSE
2000,"June",2,"Friday",12695,FALSE
2000,"June",3,"Saturday",8940,TRUE
2000,"June",4,"Sunday",7983,TRUE
2000,"June",5,"Monday",11647,FALSE
2000,"June",6,"Tuesday",12765,FALSE
2000,"June",7,"Wednesday",12474,FALSE
2000,"June",8,"Thursday",12751,FALSE
2000,"June",9,"Friday",12504,FALSE
2000,"June",10,"Saturday",9134,TRUE
2000,"June",11,"Sunday",8116,TRUE
2000,"June",12,"Monday",11848,FALSE
2000,"June",13,"Tuesday",12683,FALSE
2000,"June",14,"Wednesday",12849,FALSE
2000,"June",15,"Thursday",12798,FALSE
2000,"June",16,"Friday",12727,FALSE
2000,"June",17,"Saturday",9143,TRUE
2000,"June",18,"Sunday",8162,TRUE
2000,"June",19,"Monday",11649,FALSE
2000,"June",20,"Tuesday",13017,FALSE
2000,"June",21,"Wednesday",12729,FALSE
2000,"June",22,"Thursday",12809,FALSE
2000,"June",23,"Friday",12603,FALSE
2000,"June",24,"Saturday",9094,TRUE
2000,"June",25,"Sunday",8178,TRUE
2000,"June",26,"Monday",12164,FALSE
2000,"June",27,"Tuesday",13354,FALSE
2000,"June",28,"Wednesday",13033,FALSE
2000,"June",29,"Thursday",13462,FALSE
2000,"June",30,"Friday",13225,FALSE
2000,"July",1,"Saturday",9376,TRUE
2000,"July",2,"Sunday",8100,TRUE
2000,"July",3,"Monday",11345,FALSE
2000,"July",4,"Tuesday",9550,FALSE
2000,"July",5,"Wednesday",12346,FALSE
2000,"July",6,"Thursday",13853,FALSE
2000,"July",7,"Friday",13658,FALSE
2000,"July",8,"Saturday",9631,TRUE
2000,"July",9,"Sunday",8586,TRUE
2000,"July",10,"Monday",12420,FALSE
2000,"July",11,"Tuesday",13584,FALSE
2000,"July",12,"Wednesday",12827,FALSE
2000,"July",13,"Thursday",12980,FALSE
2000,"July",14,"Friday",13230,FALSE
2000,"July",15,"Saturday",9627,TRUE
2000,"July",16,"Sunday",8423,TRUE
2000,"July",17,"Monday",12053,FALSE
2000,"July",18,"Tuesday",13663,FALSE
2000,"July",19,"Wednesday",13001,FALSE
2000,"July",20,"Thursday",13173,FALSE
2000,"July",21,"Friday",13027,FALSE
2000,"July",22,"Saturday",9463,TRUE
2000,"July",23,"Sunday",8166,TRUE
2000,"July",24,"Monday",12128,FALSE
2000,"July",25,"Tuesday",13176,FALSE
2000,"July",26,"Wednesday",12931,FALSE
2000,"July",27,"Thursday",13155,FALSE
2000,"July",28,"Friday",12890,FALSE
2000,"July",29,"Saturday",9465,TRUE
2000,"July",30,"Sunday",8444,TRUE
2000,"July",31,"Monday",11860,FALSE
2000,"August",1,"Tuesday",13356,FALSE
2000,"August",2,"Wednesday",12835,FALSE
2000,"August",3,"Thursday",13092,FALSE
2000,"August",4,"Friday",12940,FALSE
2000,"August",5,"Saturday",9398,TRUE
2000,"August",6,"Sunday",8350,TRUE
2000,"August",7,"Monday",11864,FALSE
2000,"August",8,"Tuesday",13693,FALSE
2000,"August",9,"Wednesday",13170,FALSE
2000,"August",10,"Thursday",12953,FALSE
2000,"August",11,"Friday",12729,FALSE
2000,"August",12,"Saturday",9305,TRUE
2000,"August",13,"Sunday",8313,TRUE
2000,"August",14,"Monday",11927,FALSE
2000,"August",15,"Tuesday",13374,FALSE
2000,"August",16,"Wednesday",13174,FALSE
2000,"August",17,"Thursday",13099,FALSE
2000,"August",18,"Friday",13124,FALSE
2000,"August",19,"Saturday",9276,TRUE
2000,"August",20,"Sunday",8346,TRUE
2000,"August",21,"Monday",12003,FALSE
2000,"August",22,"Tuesday",13406,FALSE
2000,"August",23,"Wednesday",12929,FALSE
2000,"August",24,"Thursday",13021,FALSE
2000,"August",25,"Friday",12926,FALSE
2000,"August",26,"Saturday",9341,TRUE
2000,"August",27,"Sunday",8240,TRUE
2000,"August",28,"Monday",12074,FALSE
2000,"August",29,"Tuesday",13237,FALSE
2000,"August",30,"Wednesday",13111,FALSE
2000,"August",31,"Thursday",13287,FALSE
2000,"September",1,"Friday",13145,FALSE
2000,"September",2,"Saturday",9265,TRUE
2000,"September",3,"Sunday",8248,TRUE
2000,"September",4,"Monday",8603,FALSE
2000,"September",5,"Tuesday",12200,FALSE
2000,"September",6,"Wednesday",13917,FALSE
2000,"September",7,"Thursday",13512,FALSE
2000,"September",8,"Friday",13487,FALSE
2000,"September",9,"Saturday",9860,TRUE
2000,"September",10,"Sunday",8552,TRUE
2000,"September",11,"Monday",12405,FALSE
2000,"September",12,"Tuesday",13649,FALSE
2000,"September",13,"Wednesday",13299,FALSE
2000,"September",14,"Thursday",13739,FALSE
2000,"September",15,"Friday",13552,FALSE
2000,"September",16,"Saturday",9780,TRUE
2000,"September",17,"Sunday",8683,TRUE
2000,"September",18,"Monday",12554,FALSE
2000,"September",19,"Tuesday",13850,FALSE
2000,"September",20,"Wednesday",13775,FALSE
2000,"September",21,"Thursday",13350,FALSE
2000,"September",22,"Friday",13189,FALSE
2000,"September",23,"Saturday",9494,TRUE
2000,"September",24,"Sunday",8539,TRUE
2000,"September",25,"Monday",12432,FALSE
2000,"September",26,"Tuesday",13540,FALSE
2000,"September",27,"Wednesday",13467,FALSE
2000,"September",28,"Thursday",13515,FALSE
2000,"September",29,"Friday",13045,FALSE
2000,"September",30,"Saturday",9335,TRUE
2000,"October",1,"Sunday",8453,TRUE
2000,"October",2,"Monday",12223,FALSE
2000,"October",3,"Tuesday",13245,FALSE
2000,"October",4,"Wednesday",13154,FALSE
2000,"October",5,"Thursday",13288,FALSE
2000,"October",6,"Friday",12774,FALSE
2000,"October",7,"Saturday",9131,TRUE
2000,"October",8,"Sunday",8119,TRUE
2000,"October",9,"Monday",11343,FALSE
2000,"October",10,"Tuesday",13124,FALSE
2000,"October",11,"Wednesday",12907,FALSE
2000,"October",12,"Thursday",13038,FALSE
2000,"October",13,"Friday",11723,FALSE
2000,"October",14,"Saturday",9163,TRUE
2000,"October",15,"Sunday",8156,TRUE
2000,"October",16,"Monday",12001,FALSE
2000,"October",17,"Tuesday",13106,FALSE
2000,"October",18,"Wednesday",12816,FALSE
2000,"October",19,"Thursday",12502,FALSE
2000,"October",20,"Friday",12471,FALSE
2000,"October",21,"Saturday",8956,TRUE
2000,"October",22,"Sunday",7938,TRUE
2000,"October",23,"Monday",11810,FALSE
2000,"October",24,"Tuesday",12995,FALSE
2000,"October",25,"Wednesday",12780,FALSE
2000,"October",26,"Thursday",12787,FALSE
2000,"October",27,"Friday",12333,FALSE
2000,"October",28,"Saturday",8978,TRUE
2000,"October",29,"Sunday",8124,TRUE
2000,"October",30,"Monday",11558,FALSE
2000,"October",31,"Tuesday",11372,FALSE
2000,"November",1,"Wednesday",12927,FALSE
2000,"November",2,"Thursday",13066,FALSE
2000,"November",3,"Friday",12630,FALSE
2000,"November",4,"Saturday",9084,TRUE
2000,"November",5,"Sunday",8078,TRUE
2000,"November",6,"Monday",11862,FALSE
2000,"November",7,"Tuesday",12822,FALSE
2000,"November",8,"Wednesday",12829,FALSE
2000,"November",9,"Thursday",12778,FALSE
2000,"November",10,"Friday",12554,FALSE
2000,"November",11,"Saturday",9318,TRUE
2000,"November",12,"Sunday",8070,TRUE
2000,"November",13,"Monday",11480,FALSE
2000,"November",14,"Tuesday",13153,FALSE
2000,"November",15,"Wednesday",12953,FALSE
2000,"November",16,"Thursday",13061,FALSE
2000,"November",17,"Friday",12888,FALSE
2000,"November",18,"Saturday",9137,TRUE
2000,"November",19,"Sunday",8077,TRUE
2000,"November",20,"Monday",12974,FALSE
2000,"November",21,"Tuesday",13991,FALSE
2000,"November",22,"Wednesday",12420,FALSE
2000,"November",23,"Thursday",8144,FALSE
2000,"November",24,"Friday",9805,FALSE
2000,"November",25,"Saturday",8537,TRUE
2000,"November",26,"Sunday",7950,TRUE
2000,"November",27,"Monday",12175,FALSE
2000,"November",28,"Tuesday",13799,FALSE
2000,"November",29,"Wednesday",13114,FALSE
2000,"November",30,"Thursday",12818,FALSE
2000,"December",1,"Friday",12545,FALSE
2000,"December",2,"Saturday",8914,TRUE
2000,"December",3,"Sunday",7930,TRUE
2000,"December",4,"Monday",11501,FALSE
2000,"December",5,"Tuesday",12997,FALSE
2000,"December",6,"Wednesday",12697,FALSE
2000,"December",7,"Thursday",12820,FALSE
2000,"December",8,"Friday",12548,FALSE
2000,"December",9,"Saturday",8853,TRUE
2000,"December",10,"Sunday",8022,TRUE
2000,"December",11,"Monday",11811,FALSE
2000,"December",12,"Tuesday",13627,FALSE
2000,"December",13,"Wednesday",12567,FALSE
2000,"December",14,"Thursday",12640,FALSE
2000,"December",15,"Friday",12656,FALSE
2000,"December",16,"Saturday",9184,TRUE
2000,"December",17,"Sunday",8026,TRUE
2000,"December",18,"Monday",12590,FALSE
2000,"December",19,"Tuesday",13829,FALSE
2000,"December",20,"Wednesday",13762,FALSE
2000,"December",21,"Thursday",13524,FALSE
2000,"December",22,"Friday",12248,FALSE
2000,"December",23,"Saturday",8484,TRUE
2000,"December",24,"Sunday",6971,TRUE
2000,"December",25,"Monday",6719,FALSE
2000,"December",26,"Tuesday",10395,FALSE
2000,"December",27,"Wednesday",13252,FALSE
2000,"December",28,"Thursday",13900,FALSE
2000,"December",29,"Friday",13607,FALSE
2000,"December",30,"Saturday",9405,TRUE
2000,"December",31,"Sunday",7892,TRUE
2001,"January",1,"Monday",7663,FALSE
2001,"January",2,"Tuesday",10635,FALSE
2001,"January",3,"Wednesday",12449,FALSE
2001,"January",4,"Thursday",12678,FALSE
2001,"January",5,"Friday",12647,FALSE
2001,"January",6,"Saturday",9180,TRUE
2001,"January",7,"Sunday",7883,TRUE
2001,"January",8,"Monday",11447,FALSE
2001,"January",9,"Tuesday",12386,FALSE
2001,"January",10,"Wednesday",12455,FALSE
2001,"January",11,"Thursday",12433,FALSE
2001,"January",12,"Friday",12735,FALSE
2001,"January",13,"Saturday",8836,TRUE
2001,"January",14,"Sunday",7818,TRUE
2001,"January",15,"Monday",10926,FALSE
2001,"January",16,"Tuesday",12327,FALSE
2001,"January",17,"Wednesday",12344,FALSE
2001,"January",18,"Thursday",12648,FALSE
2001,"January",19,"Friday",12339,FALSE
2001,"January",20,"Saturday",8771,TRUE
2001,"January",21,"Sunday",7850,TRUE
2001,"January",22,"Monday",11444,FALSE
2001,"January",23,"Tuesday",12446,FALSE
2001,"January",24,"Wednesday",12244,FALSE
2001,"January",25,"Thursday",12570,FALSE
2001,"January",26,"Friday",12191,FALSE
2001,"January",27,"Saturday",8795,TRUE
2001,"January",28,"Sunday",7761,TRUE
2001,"January",29,"Monday",11513,FALSE
2001,"January",30,"Tuesday",12488,FALSE
2001,"January",31,"Wednesday",12477,FALSE
2001,"February",1,"Thursday",12477,FALSE
2001,"February",2,"Friday",12470,FALSE
2001,"February",3,"Saturday",8650,TRUE
2001,"February",4,"Sunday",7716,TRUE
2001,"February",5,"Monday",11825,FALSE
2001,"February",6,"Tuesday",12536,FALSE
2001,"February",7,"Wednesday",12343,FALSE
2001,"February",8,"Thursday",12390,FALSE
2001,"February",9,"Friday",12343,FALSE
2001,"February",10,"Saturday",8791,TRUE
2001,"February",11,"Sunday",7563,TRUE
2001,"February",12,"Monday",11670,FALSE
2001,"February",13,"Tuesday",12267,FALSE
2001,"February",14,"Wednesday",13191,FALSE
2001,"February",15,"Thursday",12632,FALSE
2001,"February",16,"Friday",12355,FALSE
2001,"February",17,"Saturday",8609,TRUE
2001,"February",18,"Sunday",7555,TRUE
2001,"February",19,"Monday",10522,FALSE
2001,"February",20,"Tuesday",12373,FALSE
2001,"February",21,"Wednesday",12492,FALSE
2001,"February",22,"Thursday",12482,FALSE
2001,"February",23,"Friday",12242,FALSE
2001,"February",24,"Saturday",8656,TRUE
2001,"February",25,"Sunday",7794,TRUE
2001,"February",26,"Monday",11332,FALSE
2001,"February",27,"Tuesday",12334,FALSE
2001,"February",28,"Wednesday",12209,FALSE
2001,"March",1,"Thursday",12530,FALSE
2001,"March",2,"Friday",12383,FALSE
2001,"March",3,"Saturday",8935,TRUE
2001,"March",4,"Sunday",7799,TRUE
2001,"March",5,"Monday",11411,FALSE
2001,"March",6,"Tuesday",12339,FALSE
2001,"March",7,"Wednesday",12351,FALSE
2001,"March",8,"Thursday",12440,FALSE
2001,"March",9,"Friday",12461,FALSE
2001,"March",10,"Saturday",8807,TRUE
2001,"March",11,"Sunday",7697,TRUE
2001,"March",12,"Monday",11595,FALSE
2001,"March",13,"Tuesday",12534,FALSE
2001,"March",14,"Wednesday",12578,FALSE
2001,"March",15,"Thursday",12525,FALSE
2001,"March",16,"Friday",12460,FALSE
2001,"March",17,"Saturday",9006,TRUE
2001,"March",18,"Sunday",7526,TRUE
2001,"March",19,"Monday",11352,FALSE
2001,"March",20,"Tuesday",12868,FALSE
2001,"March",21,"Wednesday",12690,FALSE
2001,"March",22,"Thursday",12472,FALSE
2001,"March",23,"Friday",12432,FALSE
2001,"March",24,"Saturday",8830,TRUE
2001,"March",25,"Sunday",7800,TRUE
2001,"March",26,"Monday",11290,FALSE
2001,"March",27,"Tuesday",12570,FALSE
2001,"March",28,"Wednesday",12469,FALSE
2001,"March",29,"Thursday",12366,FALSE
2001,"March",30,"Friday",12059,FALSE
2001,"March",31,"Saturday",8770,TRUE
2001,"April",1,"Sunday",7212,TRUE
2001,"April",2,"Monday",11673,FALSE
2001,"April",3,"Tuesday",12864,FALSE
2001,"April",4,"Wednesday",12655,FALSE
2001,"April",5,"Thursday",12438,FALSE
2001,"April",6,"Friday",12407,FALSE
2001,"April",7,"Saturday",8755,TRUE
2001,"April",8,"Sunday",7718,TRUE
