"subjectID","sex","age","camera","memory_task","attn_check","memory_score"
38515,"female",21,"Yes","visual",1,77.77777778
38515,"female",21,"Yes","audio",1,100
38531,"male",21,"No","visual",1,33.33333333
38531,"male",21,"No","audio",1,77.77777778
38642,"male",26,"No","audio",1,77.77777778
38642,"male",26,"No","visual",1,44.44444444
38679,"male",22,"Yes","visual",1,77.77777778
38679,"male",22,"Yes","audio",1,100
38688,"male",20,"Yes","visual",1,66.66666667
38688,"male",20,"Yes","audio",1,66.66666667
38890,"female",23,"Yes","visual",1,77.77777778
38890,"female",23,"Yes","audio",1,100
38999,"male",21,"Yes","audio",1,100
38999,"male",21,"Yes","visual",1,66.66666667
39029,"female",22,"Yes","visual",1,66.66666667
39029,"female",22,"Yes","audio",1,100
39122,"female",22,"Yes","visual",1,55.55555556
39122,"female",22,"Yes","audio",1,100
39151,"female",20,"No","visual",1,44.44444444
39151,"female",20,"No","audio",1,88.88888889
39178,"female",22,"Yes","audio",1,88.88888889
39178,"female",22,"Yes","visual",1,55.55555556
39194,"male",20,"Yes","visual",1,66.66666667
39194,"male",20,"Yes","audio",1,88.88888889
39214,"male",20,"No","audio",1,77.77777778
39214,"male",20,"No","visual",1,88.88888889
39241,"male",21,"Yes","audio",1,66.66666667
39241,"male",21,"Yes","visual",1,77.77777778
39292,"female",21,"Yes","audio",1,88.88888889
39292,"female",21,"Yes","visual",1,77.77777778
39303,"female",22,"No","audio",1,88.88888889
39303,"female",22,"No","visual",1,22.22222222
39339,"female",21,"No","audio",1,88.88888889
39339,"female",21,"No","visual",1,55.55555556
39349,"male",21,"No","audio",1,55.55555556
39349,"male",21,"No","visual",1,44.44444444
39410,"male",21,"No","audio",1,88.88888889
39410,"male",21,"No","visual",1,66.66666667
39527,"female",22,"No","audio",1,66.66666667
39527,"female",22,"No","visual",1,77.77777778
39702,"female",21,"No","audio",1,66.66666667
39702,"female",21,"No","visual",1,44.44444444
39902,"male",21,"No","audio",1,77.77777778
39902,"male",21,"No","visual",1,77.77777778
39906,"male",21,"No","audio",1,88.88888889
39906,"male",21,"No","visual",1,55.55555556
40200,"male",22,"Yes","audio",1,100
40200,"male",22,"Yes","visual",1,88.88888889
40248,"female",22,"Yes","visual",0,55.55555556
40248,"female",22,"Yes","audio",0,66.66666667
40271,"male",20,"Yes","audio",1,77.77777778
40271,"male",20,"Yes","visual",1,88.88888889
40281,"male",20,"Yes","visual",1,66.66666667
40281,"male",20,"Yes","audio",1,66.66666667
40282,"male",19,"Yes","visual",0,66.66666667
40282,"male",19,"Yes","audio",0,66.66666667
40288,"male",20,"No","visual",1,66.66666667
40288,"male",20,"No","audio",1,88.88888889
40318,"male",20,"Yes","audio",1,77.77777778
40318,"male",20,"Yes","visual",1,44.44444444
40337,"male",20,"Yes","visual",1,77.77777778
40337,"male",20,"Yes","audio",1,44.44444444
40348,"male",19,"Yes","visual",1,66.66666667
40348,"male",19,"Yes","audio",1,55.55555556
40358,"male",20,"Yes","visual",1,66.66666667
40358,"male",20,"Yes","audio",1,88.88888889
40473,"male",20,"Yes","audio",1,66.66666667
40473,"male",20,"Yes","visual",1,77.77777778
40555,"male",19,"Yes","visual",1,44.44444444
40555,"male",19,"Yes","audio",1,77.77777778
